City,Month,Year,Decibel_Level,Traffic_Density,Green_Space_Area,Air_Quality_Index,Cost_of_Living_Index,Healthcare_Index,Environmental_Quality_Index,Health_Wellness_Index,Mobility_Comfort_Index,Composite_Happiness_Index,Air_Quality_Index_Norm,Decibel_Level_Norm,Green_Space_Area_Norm,Cost_of_Living_Index_Norm,Healthcare_Index_Norm,Cluster
Auckland,January,2030,50.46593722238893,Low,80.46027895772245,42.04103513369447,111.87719065938563,96.15741426796184,2.7378138050600658,0.0,2.965485111765055,1.8364967999652901,0.09019299770171885,0.15057741204121633,0.9008866051209582,0.7948061639121078,0.8452165215059942,2
Auckland,February,2030,57.983992469421,Low,78.75137065282247,40.643172646820624,107.0607357646628,95.11856856903964,4.034635550054763,0.0,0.0,1.6138542200219055,0.08315630335220928,0.3004074105886495,0.881752535227001,0.7460238185415697,0.8300549835997132,0
Auckland,March,2030,60.33144215361116,Low,73.5989090877511,41.0689467863544,112.02002410080786,96.37652071021242,0.0,1.9542422462954732,4.457555054837932,1.7983735499128986,0.08529960608045181,0.34719057075646476,0.8240621609516101,0.7962528192680121,0.848414292486939,2
Auckland,April,2030,56.28084919783424,Low,74.99768909210368,41.20962431845657,110.78541294840504,97.66852950522848,3.5345047297143037,0.0,0.0,1.4138018918857216,0.08600776214339909,0.26646486221370214,0.8397238288672088,0.7837483467978512,0.8672706446297141,0
Auckland,May,2030,61.78655807903952,Low,85.109872675213,38.01931652046161,110.36301164555194,98.82232376566692,0.9654834561150888,3.5088453640976,0.1726561830052553,1.6574533056315093,0.06994808455268525,0.3761900938817234,0.9529465377187902,0.7794701532527768,0.8841098108637723,1
Auckland,June,2030,60.068599993797406,Low,76.29765846742916,38.3457060718798,108.88729297842308,97.80133697763776,3.973079938890233,0.0,1.5296400960533103,1.971641999569421,0.07159109560260596,0.3419522958131348,0.8542791474973311,0.7645236792873495,0.8692089166264697,0
Auckland,July,2030,50.08749663085128,Low,78.56134450417463,39.442659506068885,112.08400099907765,95.60257594267786,2.5177514376063286,0.5048906925367442,0.0,1.1838123174303918,0.07711304508226893,0.14303533481283193,0.8796248765343246,0.7969007944313529,0.8371188778334274,0
Auckland,August,2030,53.86685377854608,Low,78.43332269936245,40.943562750813705,108.77558577131616,96.6527785992193,1.0326144195791844,0.0,1.0682014537015208,0.6800961312570539,0.08466843588832437,0.2183554884087887,0.8781914595661918,0.7633922787704592,0.8524461659985033,0
Auckland,September,2030,56.985957753760665,Low,80.41914874881705,39.58284006413133,113.88814216437773,95.48903281243396,1.4160435392133466,1.2143341461194483,0.0,0.9914343668271455,0.07781869942959685,0.28051722155915193,0.9004260840446123,0.8151736194336803,0.8354617612135323,0
Auckland,October,2030,57.605588726780326,Low,77.19878478553166,37.60248755998303,110.7864555863285,96.31278509838772,0.0,1.7893724931379718,1.0672291109176335,0.8930876503276984,0.06784981092530504,0.29286606773504686,0.8643687549411119,0.7837589069140343,0.8474840966978406,1
Auckland,November,2030,47.72128492489562,Low,78.98582435621512,40.91098196907527,110.59371341613488,99.08694097195558,3.0113856404754955,0.8664338837649488,0.0,1.5078061155079303,0.0845044276221936,0.09587825963621432,0.8843776342652286,0.7818067625839475,0.8879717932620842,0
Auckland,December,2030,55.32880836958857,Low,81.3405020761979,39.24704693260344,111.73746656975452,94.7191542967247,2.831501494337836,0.0,0.732385872618711,1.3156970658898122,0.07612835173558957,0.24749130173481915,0.9107421664889345,0.7933910009040546,0.8242256918807452,0
Berlin,January,2030,47.95878236827933,Low,57.66158683340779,40.92704605471239,81.85963192883071,91.30244387203548,2.181726301777857,0.0,0.0,0.872690520711143,0.08458529255826147,0.10061143070611944,0.6456173391535369,0.4907802882044931,0.774360168374746,0
Berlin,February,2030,57.98386083971975,Low,61.5025940065023,43.12108673838615,81.35212391705062,90.84071725340807,1.5708792282892283,0.0,0.0,0.6283516913156914,0.0956298651298656,0.3004047872934891,0.68862380094113,0.4856401111136422,0.7676214528581667,0
Berlin,March,2030,59.83622571983251,Low,60.55234209458163,45.62951757457847,79.18685166323053,91.35977663938154,0.0,3.825046334181153,0.1640642809598599,1.3797822872033683,0.10825704502553943,0.3373212262098134,0.6779841507928905,0.46370965370962375,0.7751969172069267,1
Berlin,April,2030,53.70078911284022,Low,66.0511025059436,41.5773022504116,77.91778688240835,94.32418993008446,3.339395859719992,1.728029543527315,3.136261544255235,2.724634070186366,0.08785861460601391,0.2150459265867587,0.7395519164473987,0.45085622566164535,0.8184613447571453,2
Berlin,May,2030,45.99223912837284,Low,47.4101461765564,45.73331491316572,78.82660492012967,91.76938134013189,0.0,0.0,0.8572699237448811,0.21431748093622027,0.10877955003070947,0.06141949062361285,0.5308354158171474,0.4600609781952299,0.7811749341573365,0
